year,id,player_name,pos,draft_projection,athleticism_score,size_score,production_score,ngs_score
2008,32195448-4f30-4141-1ed3-c1b9c9b53b2e,Marcus Thomas,RB,,,,,62.3776466430386
2008,32195741-4c27-3520-44c3-e9bbe1662cab,Marcus Walker,CB,,,,,
2008,32194d41-4e54-7041-817d-61461e90baf0,Mario Manningham,WR,,,,,79.915654576294
2008,32195552-5265-2601-6847-2fc205b62376,Mario Urrutia,WR,,,,,50
2008,32194252-4109-9601-6572-93565ea3b144,Mark Bradford,WR,,,,,50.6105143082115
2008,32194245-4e37-9259-4e00-fc30bbd337df,Martellus Bennett,TE,,,,,
2008,32195255-4360-6322-56b4-b97e9e5b9c88,Martin Rucker,TE,,,,,
2008,3219464c-5948-7098-61af-6ddaa21a6b89,Matt Flynn,QB,,,,,71.0620846051257
2008,3219464f-5264-5404-4446-b6ef3bdf3d3a,Matt Forte,RB,,,,,82.3838174848194
2008,32195259-4123-8179-1aae-5603693aba86,Matt Ryan,QB,,,,,97.4749103718988
2008,32195348-4579-0777-2aef-12c9b7767e82,Matt Sherry,TE,,,,,
2008,32195350-4150-9154-4223-43e3464b0246,Matt Spanos,C,,,,,
2008,32195249-4357-1163-5511-292c90a217bb,Matterral Richardson,CB,,,,,
2008,3219534c-4142-0538-6b7d-15160d047894,Matthew Slater,WR,,,,,
2008,32195055-5244-5883-dff0-d2dbbb8f6886,Maurice Purify,WR,,,,,62.8903286390787
2008,32194752-4145-9424-6e8d-c4417608ab9c,Michael Grant,DB,,,,,
2008,32194452-4112-9787-b6ce-d506200bb8bb,Mike Dragosavich,P,,,,,
2008,32194749-4269-8733-fd96-4578c4033a0d,Mike Gibson,OT,,,,,
2008,32194841-5269-0631-5f7f-d58b1f120d2b,Mike Hart,RB,,,,,64.0330293713666
2008,32194855-4d35-0511-52b3-d86aa6c53504,Mike Humpal,LB,,,,,
2008,32194a45-4e42-1854-a332-1f8b24b65db4,Mike Jenkins,CB,,,,,
2008,32194d43-4750-7111-8df7-7d5812003d6d,Mike McGlynn,OT,,,,,
2008,32194d45-5258-8438-30c6-b6f6b57069fa,Mike Merritt,TE,,,,,
2008,3219504f-4c20-5447-11c4-10f9df1a96af,Mike Pollak,OT,,,,,
2008,32194741-5230-6621-39d2-4c54f37da854,Nate Garner,OT,,,,,
2008,32195741-5274-7236-4d55-783abb904e26,Nehemiah Warrick,SS,,,,,
2008,32194841-5906-2620-d6ff-292114e36b83,Nick Hayden,DT,,,,,
2008,3219434f-5571-4650-a710-caca3695f09d,Oniel Cousins,OT,,,,,
2008,32195343-4133-5249-c94c-1dd3630cd56d,Orlando Scandrick,CB,,,,,
2008,32195343-4835-7488-596a-a1919c0dae9c,Owen Schmitt,FB,,,,,
2008,3219544f-4c79-0309-48e9-b5f1856887bc,Owen Tolson,P,,,,,
2008,32194c45-4554-7335-13b7-bd70d7e2deba,Pat Lee,DB,,,,,
2008,32195349-4d78-5706-ce12-6f401d74f179,Pat Sims,DT,,,,,
2008,32194855-4233-2233-cb7c-c572d104ec32,Paul Hubbard,WR,,,,,61.1989218986501
2008,3219534d-4956-9270-4011-c7b01ddd6f53,Paul Smith,QB,,,,,67.8087725648703
2008,3219534f-5305-9326-c0c2-bd8f9ef95bac,Pedro Sosa,OT,,,,,
2008,32194849-4c73-4134-4d69-49eef0487564,Peyton Hillis,FB,,,,,66.6258628642286
2008,32195748-4545-0744-1a1a-81d560f15a03,Philip Wheeler,OLB,,,,,
2008,32194d45-5242-7282-a7bb-7b4461038adc,Phillip Merling,DE,,,,,
2008,32194741-5211-5573-1332-2787673651cd,Pierre Garcon,WR,,,,,74.3951548020734
2008,32194752-4f76-0958-1600-88727a908009,Quentin Groves,DE,,,,,
2008,32194445-4d60-0703-f956-06a3e8e54264,Quintin Demps,FS,,,,,
2008,32194c49-5469-3698-64ba-c06436b520ce,Rafael Little,RB,,,,,59.5261479920159
2008,32194d45-4e39-3702-2414-7fdbf9b99344,Rashard Mendenhall,RB,,,,,85.5472818550788
2008,32195249-4315-4451-2f2a-2add2381825d,Ray Rice,RB,,,,,80.9767284461215
2008,32194252-5951-2697-8a28-7849b77dd595,Red Bryant,DT,,,,,
2008,3219434f-5253-5128-dad7-5191456c843e,Reggie Corner,CB,,,,,
2008,3219534d-4960-2051-60ad-60e00172982d,Reggie Smith,DB,,,,,
2008,32194a41-4349-2068-15c0-5d26904f34b5,Rob Jackson,DE,,,,,
2008,32194645-4c72-2424-22f6-46544d0b380b,Robert Felton,OG,,,,,
2008,32194845-4e13-0264-213a-7bc54b147ef9,Robert Henderson,DE,,,,,
2008,32194a41-4d49-1595-96fe-5c1f67b12d78,Robert James,OLB,,,,,
2008,32195343-4857-4149-3514-a0af74b8502d,Roy Schuening,OG,,,,,
2008,3219434c-4103-1385-909b-585a5dbf6e83,Ryan Clady,OT,,,,,
2008,32194752-4900-1767-4217-d85852547790,Ryan Grice-Mullen,WR,,,,,68.2723331695149
2008,32194d55-4e32-7528-305d-4026bc8a64a5,Ryan Mundy,FS,,,,,
2008,3219544f-5210-5154-2421-a6c6a8524957,Ryan Torain,RB,,,,,61.2393504584697
2008,32194241-4b59-7863-b11b-233451aa4b35,Sam Baker,OT,,,,,
2008,32194b45-4c14-1193-7346-c4fa558571e7,Sam Keller,QB,,,,,64.3835247911964
2008,3219454c-4c64-1039-60b5-24560e4ee8c8,Sedrick Ellis,DT,,,,,
2008,32194d43-4273-9881-e105-4edad169c608,Shaheer McBride,WR,,,,,59.7276668304851
2008,32194c4f-4e68-4664-9527-d84562b535ce,Shane Longest,K,,,,,
2008,32194352-4105-0645-5bda-8b4f8ab8a5d8,Shawn Crable,DE,,,,,
